317.740, 129.490, 0.000,  0.000 False
317.740, 129.490, 0.002,  0.023 False
317.740, 129.490, 0.002,  0.056 False
317.740, 129.490, 0.002,  0.089 False
317.739, 129.490, 0.021,  0.122 False
317.738, 129.490, 0.031,  0.155 False
317.737, 129.490, 0.028,  0.188 False
317.736, 129.490, 0.025,  0.221 False
317.736, 129.490, 0.022,  0.254 False
317.735, 129.490, 0.021,  0.287 False
317.734, 129.490, 0.020,  0.320 False
317.733, 129.490, 0.019,  0.353 False
317.733, 129.490, 0.019,  0.386 False
317.732, 129.490, 0.019,  0.419 False
317.731, 129.490, 0.020,  0.452 False
317.730, 129.490, 0.022,  0.485 False
317.729, 129.490, 0.024,  0.518 False
317.728, 129.490, 0.027,  0.551 False
317.727, 129.490, 0.031,  0.584 False
317.726, 129.490, 0.038,  0.617 False
317.723, 129.490, 0.106,  0.650 False
317.717, 129.490, 0.154,  0.683 False
317.710, 129.490, 0.207,  0.716 False
317.700, 129.490, 0.286,  0.749 False
317.690, 129.490, 0.313,  0.782 False
317.679, 129.490, 0.353,  0.815 False
317.668, 129.490, 0.348,  0.848 False
317.654, 129.490, 0.403,  0.881 False
317.640, 129.490, 0.458,  0.914 False
317.623, 129.490, 0.508,  0.947 False
317.606, 129.490, 0.526,  0.980 False
317.587, 129.490, 0.581,  1.013 False
317.567, 129.490, 0.624,  1.046 False
317.545, 129.490, 0.659,  1.079 False
317.521, 129.490, 0.723,  1.112 False
317.495, 129.490, 0.784,  1.145 False
317.469, 129.490, 0.795,  1.178 False
317.442, 129.491, 0.819,  1.211 False
317.414, 129.491, 0.844,  1.244 False
317.384, 129.491, 0.890,  1.277 False
317.354, 129.491, 0.937,  1.310 False
317.321, 129.491, 1.004,  1.343 False
317.285, 129.491, 1.077,  1.376 False
317.247, 129.491, 1.144,  1.409 False
317.208, 129.491, 1.167,  1.442 False
317.168, 129.491, 1.192,  1.475 False
317.128, 129.491, 1.223,  1.508 False
317.086, 129.491, 1.264,  1.541 False
317.043, 129.491, 1.309,  1.574 False
316.998, 129.491, 1.356,  1.607 False
316.952, 129.491, 1.402,  1.640 False
316.904, 129.491, 1.449,  1.673 False
316.854, 129.491, 1.493,  1.706 False
316.804, 129.491, 1.538,  1.739 False
316.751, 129.491, 1.582,  1.772 False
316.697, 129.491, 1.626,  1.805 False
316.642, 129.491, 1.668,  1.838 False
316.585, 129.491, 1.711,  1.871 False
316.527, 129.491, 1.752,  1.904 False
316.468, 129.491, 1.794,  1.937 False
316.407, 129.491, 1.834,  1.970 False
316.345, 129.491, 1.874,  2.003 False
316.282, 129.492, 1.913,  2.036 False
316.217, 129.492, 1.952,  2.069 False
316.151, 129.492, 1.990,  2.102 False
316.084, 129.492, 2.029,  2.135 False
316.015, 129.492, 2.067,  2.168 False
315.945, 129.492, 2.105,  2.201 False
315.874, 129.492, 2.142,  2.234 False
315.802, 129.492, 2.180,  2.267 False
315.728, 129.492, 2.217,  2.300 False
315.653, 129.492, 2.254,  2.333 False
315.577, 129.492, 2.289,  2.366 False
315.500, 129.492, 2.323,  2.399 False
315.422, 129.492, 2.358,  2.432 False
315.343, 129.492, 2.392,  2.465 False
315.262, 129.492, 2.427,  2.498 False
315.180, 129.492, 2.460,  2.531 False
315.098, 129.492, 2.494,  2.564 False
315.014, 129.492, 2.527,  2.597 False
314.929, 129.493, 2.560,  2.630 False
314.842, 129.493, 2.593,  2.663 False
314.755, 129.493, 2.626,  2.696 False
314.667, 129.493, 2.660,  2.729 False
314.577, 129.493, 2.693,  2.762 False
314.487, 129.493, 2.727,  2.795 False
314.395, 129.493, 2.760,  2.828 False
314.302, 129.493, 2.793,  2.861 False
314.208, 129.493, 2.826,  2.894 False
314.113, 129.493, 2.859,  2.927 False
314.017, 129.493, 2.891,  2.960 False
313.920, 129.493, 2.925,  2.993 False
313.822, 129.493, 2.958,  3.026 False
313.722, 129.493, 2.991,  3.059 False
313.622, 129.493, 3.024,  3.092 False
313.520, 129.493, 3.057,  3.125 False
313.417, 129.493, 3.090,  3.158 False
313.314, 129.494, 3.122,  3.191 False
313.209, 129.494, 3.155,  3.224 False
313.103, 129.494, 3.188,  3.257 False
312.996, 129.494, 3.221,  3.290 False
312.887, 129.494, 3.254,  3.323 False
312.778, 129.494, 3.286,  3.356 False
312.668, 129.494, 3.320,  3.389 False
312.556, 129.494, 3.353,  3.422 False
312.444, 129.494, 3.387,  3.455 False
312.330, 129.494, 3.420,  3.488 False
312.215, 129.494, 3.452,  3.521 False
312.099, 129.494, 3.485,  3.554 False
311.982, 129.494, 3.518,  3.587 False
